epoch,step,test_acc,test_loss,train_loss,val_acc,val_loss
0,49,,,1.5235341787338257,,
0,99,,,0.9442580938339233,,
0,107,,,,0.7021999955177307,0.8987014889717102
1,149,,,0.7525382041931152,,
1,199,,,0.6545515060424805,,
1,215,,,,0.7961999773979187,0.6852105259895325
2,249,,,0.6709438562393188,,
2,299,,,0.6968759894371033,,
2,323,,,,0.8230000138282776,0.6123560070991516
3,349,,,0.5375820398330688,,
3,399,,,0.6009557247161865,,
3,431,,,,0.8479999899864197,0.5441128611564636
4,449,,,0.5401679873466492,,
4,499,,,0.5337598323822021,,
4,539,,,,0.8690000176429749,0.4931209087371826
5,549,,,0.47410503029823303,,
5,599,,,0.49308985471725464,,
5,647,,,,0.8686000108718872,0.4657304286956787
6,649,,,0.38363245129585266,,
6,699,,,0.44044211506843567,,
6,749,,,0.36456820368766785,,
6,755,,,,0.8741999864578247,0.4598090946674347
7,799,,,0.41816073656082153,,
7,849,,,0.4445529878139496,,
7,863,,,,0.8795999884605408,0.4432307481765747
8,899,,,0.41006040573120117,,
8,949,,,0.3919890522956848,,
8,971,,,,0.8840000033378601,0.42636263370513916
9,999,,,0.33786699175834656,,
9,1049,,,0.2859032452106476,,
9,1079,,,,0.8877999782562256,0.4165138304233551
10,1080,0.8881999850273132,0.3898060917854309,,,
