epoch,step,test_acc,test_loss,train_loss,val_acc,val_loss
0,49,,,2.8315131664276123,,
0,99,,,2.3922910690307617,,
0,107,,,,0.5424000024795532,2.241276979446411
1,149,,,1.9974746704101562,,
1,199,,,1.8964006900787354,,
1,215,,,,0.7143999934196472,1.8693838119506836
2,249,,,1.8283212184906006,,
2,299,,,1.8120520114898682,,
2,323,,,,0.7703999876976013,1.758548378944397
3,349,,,1.7676923274993896,,
3,399,,,1.6838345527648926,,
3,431,,,,0.7900000214576721,1.694505214691162
4,449,,,1.6197597980499268,,
4,499,,,1.6973836421966553,,
4,539,,,,0.8190000057220459,1.6344115734100342
5,549,,,1.6352075338363647,,
5,599,,,1.5917930603027344,,
5,647,,,,0.823199987411499,1.5981374979019165
6,649,,,1.5956379175186157,,
6,699,,,1.610647439956665,,
6,749,,,1.5972670316696167,,
6,755,,,,0.8424000144004822,1.569448709487915
7,799,,,1.5452371835708618,,
7,849,,,1.5334715843200684,,
7,863,,,,0.8417999744415283,1.5632761716842651
8,899,,,1.5441933870315552,,
8,949,,,1.4514799118041992,,
8,971,,,,0.8518000245094299,1.5365911722183228
9,999,,,1.5232183933258057,,
9,1049,,,1.4884010553359985,,
9,1079,,,,0.848800003528595,1.524945616722107
10,1080,0.8592000007629395,1.4935051202774048,,,
