epoch,step,test_acc,test_loss,train_loss,val_acc,val_loss
0,49,,,2.022334575653076,,
0,99,,,1.6107420921325684,,
0,107,,,,0.4016000032424927,1.5497868061065674
1,149,,,1.2233235836029053,,
1,199,,,1.1481540203094482,,
1,215,,,,0.597000002861023,1.1138272285461426
2,249,,,1.016883373260498,,
2,299,,,0.902692437171936,,
2,323,,,,0.6858000159263611,0.8961032032966614
3,349,,,0.9505047798156738,,
3,399,,,0.8041848540306091,,
3,431,,,,0.724399983882904,0.8144470453262329
4,449,,,0.8464011549949646,,
4,499,,,0.8065489530563354,,
4,539,,,,0.7487999796867371,0.7681974768638611
5,549,,,0.8089584708213806,,
5,599,,,0.7947049736976624,,
5,647,,,,0.7617999911308289,0.7133775353431702
6,649,,,0.7897598147392273,,
6,699,,,0.723353922367096,,
6,749,,,0.7165428400039673,,
6,755,,,,0.7703999876976013,0.7102670669555664
7,799,,,0.7412890791893005,,
7,849,,,0.7123109102249146,,
7,863,,,,0.7850000262260437,0.6895294189453125
8,899,,,0.6470670104026794,,
8,949,,,0.6592203378677368,,
8,971,,,,0.7942000031471252,0.671410083770752
9,999,,,0.7015719413757324,,
9,1049,,,0.7612678408622742,,
9,1079,,,,0.7888000011444092,0.6654666662216187
10,1080,0.8022000193595886,0.6439266800880432,,,
