epoch,step,test_acc,test_loss,train_loss,val_acc,val_loss
0,49,,,1.4124201536178589,,
0,99,,,0.8366507291793823,,
0,107,,,,0.7429999709129333,0.8111799359321594
1,149,,,0.7412729859352112,,
1,199,,,0.6051468253135681,,
1,215,,,,0.8252000212669373,0.6069319844245911
2,249,,,0.5309982895851135,,
2,299,,,0.5571174025535583,,
2,323,,,,0.8432000279426575,0.544594407081604
3,349,,,0.4748963713645935,,
3,399,,,0.45663702487945557,,
3,431,,,,0.8641999959945679,0.48220008611679077
4,449,,,0.5066754221916199,,
4,499,,,0.4464474022388458,,
4,539,,,,0.8676000237464905,0.45644980669021606
5,549,,,0.4505343437194824,,
5,599,,,0.397487074136734,,
5,647,,,,0.8741999864578247,0.44998764991760254
6,649,,,0.43305620551109314,,
6,699,,,0.39492133259773254,,
6,749,,,0.3880363702774048,,
6,755,,,,0.8784000277519226,0.41493871808052063
7,799,,,0.39219552278518677,,
7,849,,,0.4484698176383972,,
7,863,,,,0.8822000026702881,0.40821942687034607
8,899,,,0.3764444887638092,,
8,949,,,0.34930479526519775,,
8,971,,,,0.88919997215271,0.3983881175518036
9,999,,,0.36370494961738586,,
9,1049,,,0.354580819606781,,
9,1079,,,,0.8885999917984009,0.38070881366729736
10,1080,0.8950999975204468,0.37006160616874695,,,
